short_code,standard_code,stock_name,security_group_code,stock_base_price,regular_market_unit,after_hours_market_unit,trading_halt_yn,liquidation_yn,management_stock_yn,market_warning_code,market_warning_risk_yn,dishonest_disclosure_yn,bypass_listing_yn,lock_division_code,par_value_change_code,capital_increase_code,margin_rate,credit_order_yn,credit_period,prev_day_volume,stock_par_value,stock_listing_date,listed_shares_thousand,capital,settlement_month,public_offering_price,preferred_stock_code,short_sale_overheat_yn,unusual_rise_yn,krx300_stock_yn,sales,operating_profit,ordinary_profit,net_income,roe,base_year_month,prev_day_market_cap_billion,company_credit_limit_exceed_yn,collateral_loan_yn,securities_lending_yn
229500,KR7229500004,노브메타파마,ST,000011800,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000002882,000000000500,20151028,000000000012709,000000000006354867000,12,,0,,N,,000000000,-00000055,-00000056,-0056,-00000153,20241231,000001499,N,N,N
232530,KR7232530006,이엠티,ST,000005140,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000011673,000000000500,20151230,000000000025614,000000000012807152000,12,,0,,N,,000000098,-00000010,-00000019,-0019,-36100000,20241231,000001316,N,N,N
233250,KR7233250000,메디안디노스틱,ST,000010470,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000001,000000000500,20170626,000000000001746,000000000001083767000,12,,0,,N,,000000122,000000004,000000008,00012,000000000,20241231,000000182,N,N,N
233990,KR7233990001,질경이,ST,000001788,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000022,000000000100,20151229,000000000014764,000000000001476489800,12,,0,,N,,000000100,000000011,000000008,00008,000000000,20241231,000000263,N,N,N
234070,KR7234070001,에이원알폼,ST,000000926,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000001,000000000500,20151221,000000000006960,000000000003480351500,12,,0,,N,,000000196,-00000111,-00000149,-0152,-00000036,20241231,000000064,N,N,N
236030,KR7236030003,씨알푸드,ST,000001900,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000021,000000000500,20171214,000000000002033,000000000001016666000,12,,0,,N,,000000178,-00000006,-00000011,-0011,-00000097,20241231,000000038,N,N,N
236340,KR7236340006,메디젠휴먼케어,ST,000001847,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000146,000000000500,20160126,000000000003014,000000000001507323500,12,,0,,N,,000000039,-00000012,-00000027,-0027,-36100000,20241231,000000055,N,N,N
238170,KR7238170005,엔에스엠,ST,000000755,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000004512,000000000500,20191226,000000000020774,000000000010387342000,12,,0,,N,,000000222,-00000010,-00000012,-0002,000000000,20241231,000000156,N,N,N
238500,KR7238500003,로보쓰리에이아이,ST,000000190,00001,00001,Y,N,N,00,N,N,N,00,00,00,100,N,090,000000000000,000000000200,20160420,000000000052018,000000000010403652400,12,,0,,N,,000000136,-00000010,-00000163,-0164,000000000,20241231,000000098,N,N,N
243870,KR7243870003,아이티센코어,ST,000009190,00001,00001,N,N,N,00,N,N,N,00,00,00,100,N,090,000000000936,000000000500,20161031,000000000002892,000000000001446315500,12,,0,,N,,000000279,000000004,-00000085,-0067,-00000026,20241231,000000265,N,N,N
